股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
上海机电,600835,2025-07-15,21.68,21.57,21.7,21.38,77345,167972130.0,1.47,-0.6,-0.13,0.96
上海机电,600835,2025-07-16,21.57,21.59,21.93,21.48,84142,183888769.0,2.09,0.09,0.02,1.04
上海机电,600835,2025-07-17,22.1,22.55,23.03,21.83,276922,629346585.0,5.56,4.45,0.96,3.43
上海机电,600835,2025-07-18,22.42,22.66,22.79,22.28,125709,285364580.0,2.26,0.49,0.11,1.56
上海机电,600835,2025-07-21,22.41,22.3,22.78,22.0,168696,380428584.0,3.44,-1.59,-0.36,2.09
上海机电,600835,2025-07-22,22.29,22.09,22.46,22.02,109497,245016466.0,1.97,-0.94,-0.21,1.36
上海机电,600835,2025-07-23,22.11,22.93,23.36,22.0,290639,666981255.0,6.16,3.8,0.84,3.6
上海机电,600835,2025-07-24,23.05,23.76,24.25,22.93,294528,706529297.0,5.76,3.62,0.83,3.65
上海机电,600835,2025-07-25,24.22,26.16,26.16,23.54,446402,1118376232.0,11.03,10.1,2.4,5.54
上海机电,600835,2025-07-28,26.7,27.7,28.8,26.3,673873,1861160825.0,9.56,5.89,1.54,8.36
上海机电,600835,2025-07-29,27.1,26.82,28.18,26.5,520051,1430058224.0,6.06,-3.18,-0.88,6.45
上海机电,600835,2025-07-30,26.55,25.8,26.6,25.55,384465,1006882290.0,3.91,-3.8,-1.02,4.77
上海机电,600835,2025-07-31,25.33,25.18,26.29,25.15,272617,706087210.0,4.42,-2.4,-0.62,3.38
上海机电,600835,2025-08-01,25.35,25.44,25.82,25.22,270191,695169833.0,2.38,1.03,0.26,3.35
上海机电,600835,2025-08-04,25.2,25.55,26.03,25.05,186651,479782593.0,3.85,0.43,0.11,2.31
上海机电,600835,2025-08-05,25.71,26.82,26.84,25.14,371110,976439594.0,6.65,4.97,1.27,4.6
上海机电,600835,2025-08-06,27.15,27.76,27.9,26.21,417233,1135322751.0,6.3,3.5,0.94,5.17
上海机电,600835,2025-08-07,27.6,27.03,27.7,26.88,289537,794167962.0,2.95,-2.63,-0.73,3.59
上海机电,600835,2025-08-08,26.87,26.05,27.3,25.91,282222,750715760.0,5.14,-3.63,-0.98,3.5
上海机电,600835,2025-08-11,25.74,25.84,26.18,25.58,212879,554973024.0,2.3,-0.81,-0.21,2.64
上海机电,600835,2025-08-12,26.13,27.39,28.36,25.5,434852,1183271944.0,11.07,6.0,1.55,5.39
上海机电,600835,2025-08-13,27.25,27.53,28.44,26.9,353374,978317872.0,5.62,0.51,0.14,4.38
上海机电,600835,2025-08-14,27.6,26.28,27.64,26.2,256290,690279622.0,5.23,-4.54,-1.25,3.18
上海机电,600835,2025-08-15,26.28,26.76,27.51,26.15,318091,864602443.0,5.18,1.83,0.48,3.94
上海机电,600835,2025-08-18,26.81,27.32,27.9,26.4,375776,1032008775.0,5.61,2.09,0.56,4.66
上海机电,600835,2025-08-19,27.38,30.07,30.07,27.3,309361,918288768.0,10.14,10.07,2.75,3.84
上海机电,600835,2025-08-20,31.35,31.41,32.38,30.79,770782,2450590406.0,5.29,4.46,1.34,9.56
上海机电,600835,2025-08-21,31.39,29.26,31.43,29.23,486516,1460364157.0,7.0,-6.84,-2.15,6.03
上海机电,600835,2025-08-22,29.55,29.97,30.26,28.79,366551,1088372057.0,5.02,2.43,0.71,4.54
上海机电,600835,2025-08-25,30.07,29.41,30.16,29.18,388816,1159184054.0,3.27,-1.87,-0.56,4.82
上海机电,600835,2025-08-26,29.41,29.09,29.63,29.05,229522,677397208.0,1.97,-1.09,-0.32,2.85
上海机电,600835,2025-08-27,29.12,28.06,29.78,28.02,293550,857562922.0,6.05,-3.54,-1.03,3.64
上海机电,600835,2025-08-28,27.81,28.69,29.13,27.43,324681,927208493.0,6.06,2.25,0.63,4.03
上海机电,600835,2025-08-29,28.7,29.55,29.68,28.22,336013,987873940.0,5.09,3.0,0.86,4.17
上海机电,600835,2025-09-01,29.33,28.68,29.36,28.45,237798,689237307.0,3.08,-2.94,-0.87,2.95
上海机电,600835,2025-09-02,28.58,26.46,28.58,25.97,399728,1080137455.0,9.1,-7.74,-2.22,4.96
上海机电,600835,2025-09-03,26.5,25.6,26.78,25.33,234407,612408529.0,5.48,-3.25,-0.86,2.91
上海机电,600835,2025-09-04,25.6,24.72,25.85,24.31,206506,521865281.0,6.02,-3.44,-0.88,2.56
上海机电,600835,2025-09-05,24.75,26.32,26.33,24.71,230556,591068033.0,6.55,6.47,1.6,2.86
上海机电,600835,2025-09-08,26.07,26.02,26.5,25.76,170753,447213415.0,2.81,-1.14,-0.3,2.12
上海机电,600835,2025-09-09,26.21,25.42,26.37,25.35,142487,370116070.0,3.92,-2.31,-0.6,1.77
上海机电,600835,2025-09-10,25.4,25.63,25.89,25.3,108774,281500260.0,2.32,0.83,0.21,1.35
上海机电,600835,2025-09-11,25.85,26.48,26.64,25.2,203120,533055358.0,5.62,3.32,0.85,2.52
上海机电,600835,2025-09-12,26.35,26.52,26.78,26.17,150463,402090227.0,2.3,0.15,0.04,1.87
上海机电,600835,2025-09-15,26.68,27.62,28.07,26.31,298151,816094994.0,6.64,4.15,1.1,3.7
上海机电,600835,2025-09-16,27.46,27.16,27.5,26.5,231401,630318170.0,3.62,-1.67,-0.46,2.87
