日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-15,601168,16.36,16.3,16.5,16.23,245272,401245299.0,1.65,-0.67,-0.11,1.03
2025-07-16,601168,16.3,16.22,16.32,16.13,199492,323577299.0,1.17,-0.49,-0.08,0.84
2025-07-17,601168,16.23,16.18,16.27,16.13,214400,346962190.0,0.86,-0.25,-0.04,0.9
2025-07-18,601168,16.28,16.39,16.55,16.25,412895,677155608.0,1.85,1.3,0.21,1.73
2025-07-21,601168,16.58,16.89,16.9,16.54,540984,905899554.0,2.2,3.05,0.5,2.27
2025-07-22,601168,16.89,17.33,17.33,16.8,555118,948660208.0,3.14,2.61,0.44,2.33
2025-07-23,601168,17.49,17.25,17.5,17.16,427623,740180733.0,1.96,-0.46,-0.08,1.79
2025-07-24,601168,17.2,17.65,17.65,17.15,454235,793059967.0,2.9,2.32,0.4,1.91
2025-07-25,601168,17.55,17.48,17.59,17.37,267011,466480027.0,1.25,-0.96,-0.17,1.12
2025-07-28,601168,17.36,17.14,17.36,16.9,472571,809599198.0,2.63,-1.95,-0.34,1.98
2025-07-29,601168,17.12,17.35,17.42,17.08,415428,716382873.0,1.98,1.23,0.21,1.74
2025-07-30,601168,17.36,17.36,17.6,17.27,345123,601833730.0,1.9,0.06,0.01,1.45
2025-07-31,601168,16.9,16.69,17.0,16.62,510419,856001455.0,2.19,-3.86,-0.67,2.14
2025-08-01,601168,16.74,17.03,17.13,16.72,392404,666750764.0,2.46,2.04,0.34,1.65
2025-08-04,601168,16.91,17.29,17.36,16.91,276196,476125444.0,2.64,1.53,0.26,1.16
2025-08-05,601168,17.41,17.37,17.52,17.22,283009,491934399.0,1.74,0.46,0.08,1.19
2025-08-06,601168,17.3,17.47,17.55,17.29,256730,447975051.0,1.5,0.58,0.1,1.08
2025-08-07,601168,17.52,17.43,17.57,17.17,281210,487658774.0,2.29,-0.23,-0.04,1.18
2025-08-08,601168,17.35,17.59,17.84,17.33,374101,658796185.0,2.93,0.92,0.16,1.57
2025-08-11,601168,17.85,17.77,17.9,17.55,373723,663224350.0,1.99,1.02,0.18,1.57
2025-08-12,601168,17.73,17.78,17.81,17.56,256000,453529341.0,1.41,0.06,0.01,1.07
2025-08-13,601168,17.89,18.26,18.35,17.88,509147,927070273.0,2.64,2.7,0.48,2.14
2025-08-14,601168,18.25,18.03,18.36,17.98,369800,671494299.0,2.08,-1.26,-0.23,1.55
2025-08-15,601168,17.88,18.3,18.42,17.88,347680,633290092.0,3.0,1.5,0.27,1.46
2025-08-18,601168,18.32,17.96,18.39,17.9,495964,895848961.0,2.68,-1.86,-0.34,2.08
2025-08-19,601168,17.91,17.78,18.15,17.7,325873,582646218.0,2.51,-1.0,-0.18,1.37
2025-08-20,601168,17.65,18.05,18.2,17.61,316007,568497469.0,3.32,1.52,0.27,1.33
2025-08-21,601168,18.08,17.98,18.15,17.88,242405,436712271.0,1.5,-0.39,-0.07,1.02
2025-08-22,601168,17.98,17.94,18.07,17.83,277090,496609541.0,1.33,-0.22,-0.04,1.16
2025-08-25,601168,18.19,18.67,18.84,18.19,676779,1259291742.0,3.62,4.07,0.73,2.84
2025-08-26,601168,18.68,18.58,18.78,18.45,355005,660926342.0,1.77,-0.48,-0.09,1.49
2025-08-27,601168,18.58,18.15,18.65,18.14,410791,756975258.0,2.74,-2.31,-0.43,1.72
2025-08-28,601168,18.05,18.18,18.29,17.68,394683,710826901.0,3.36,0.17,0.03,1.66
2025-08-29,601168,18.25,18.65,18.8,18.25,530268,985911073.0,3.03,2.59,0.47,2.23
2025-09-01,601168,18.88,19.33,19.45,18.63,836374,1603581640.0,4.4,3.65,0.68,3.51
2025-09-02,601168,19.37,19.06,19.39,18.89,547021,1046870713.0,2.59,-1.4,-0.27,2.3
2025-09-03,601168,19.43,19.11,19.6,18.85,508286,975746143.0,3.93,0.26,0.05,2.13
2025-09-04,601168,19.11,18.57,19.29,18.36,491743,918799058.0,4.87,-2.83,-0.54,2.06
2025-09-05,601168,18.56,19.25,19.25,18.53,427933,812431541.0,3.88,3.66,0.68,1.8
2025-09-08,601168,19.35,18.92,19.38,18.75,490839,929791781.0,3.27,-1.71,-0.33,2.06
2025-09-09,601168,18.89,19.22,19.58,18.84,598224,1152399587.0,3.91,1.59,0.3,2.51
2025-09-10,601168,19.03,18.98,19.16,18.7,374963,709506604.0,2.39,-1.25,-0.24,1.57
2025-09-11,601168,19.03,19.34,19.35,18.88,407672,781691910.0,2.48,1.9,0.36,1.71
2025-09-12,601168,19.47,20.3,20.59,19.42,1025526,2061499065.0,6.05,4.96,0.96,4.3
2025-09-15,601168,20.05,20.01,20.36,19.94,590148,1188194494.0,2.07,-1.43,-0.29,2.48
