trade_id,code,status,source,rows,path,error
T001,601168,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T001_601168.csv,
T002,600363,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T002_600363.csv,
T003,2171,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T003_002171.csv,
T004,2185,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T004_002185.csv,
T005,917,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T005_000917.csv,
T006,2831,ok,akshare_tx,20,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T006_002831.csv,
T007,601068,ok,akshare_tx,11,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T007_601068.csv,
T008,27,ok,akshare_tx,23,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T008_000027.csv,
T009,2497,ok,akshare_tx,9,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T009_002497.csv,
T010,600438,ok,akshare_tx,14,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T010_600438.csv,
T011,600773,ok,akshare_tx,8,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T011_600773.csv,
T012,2653,ok,akshare_tx,18,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T012_002653.csv,
T013,601512,ok,akshare_tx,13,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T013_601512.csv,
T014,686,ok,akshare_tx,13,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T014_000686.csv,
T015,2153,ok,akshare_tx,8,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T015_002153.csv,
T016,601890,ok,akshare_tx,10,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T016_601890.csv,
T017,600764,ok,akshare_tx,9,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T017_600764.csv,
T018,600033,ok,akshare_tx,12,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T018_600033.csv,
T019,600835,ok,akshare_tx,12,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T019_600835.csv,
T020,603712,ok,akshare_tx,18,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\daily_windows\T020_603712.csv,
