trade_id,code,day,kind,status,source,rows,path,error
T001,601168,2025-10-13,buy,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T001_601168_2025-10-13_buy.csv,
T001,601168,2025-10-14,sell,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T001_601168_2025-10-14_sell.csv,
T002,600363,2025-10-15,buy,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T002_600363_2025-10-15_buy.csv,
T002,600363,2025-10-15,sell,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T002_600363_2025-10-15_sell.csv,
T003,2171,2025-10-16,buy,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T003_002171_2025-10-16_buy.csv,
T003,2171,2025-10-17,sell,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T003_002171_2025-10-17_sell.csv,
T004,2185,2025-10-21,buy,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T004_002185_2025-10-21_buy.csv,
T004,2185,2025-10-23,sell,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T004_002185_2025-10-23_sell.csv,
T005,917,2025-10-22,buy,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T005_000917_2025-10-22_buy.csv,
T005,917,2025-10-27,sell,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T005_000917_2025-10-27_sell.csv,
T006,2831,2025-10-23,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T006_002831_2025-10-23_buy.csv,
T006,2831,2025-11-07,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T006_002831_2025-11-07_sell.csv,
T007,601068,2025-10-24,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T007_601068_2025-10-24_buy.csv,
T007,601068,2025-10-28,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T007_601068_2025-10-28_sell.csv,
T008,27,2025-10-27,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T008_000027_2025-10-27_buy.csv,
T008,27,2025-11-18,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T008_000027_2025-11-18_sell.csv,
T009,2497,2025-10-28,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T009_002497_2025-10-28_buy.csv,
T009,2497,2025-10-30,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T009_002497_2025-10-30_sell.csv,
T010,600438,2025-10-31,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T010_600438_2025-10-31_buy.csv,
T010,600438,2025-11-07,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T010_600438_2025-11-07_sell.csv,
T011,600773,2025-11-03,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T011_600773_2025-11-03_buy.csv,
T011,600773,2025-11-04,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T011_600773_2025-11-04_sell.csv,
T012,2653,2025-11-04,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T012_002653_2025-11-04_buy.csv,
