股票代码,股票名称,买入时间,买入价格,卖出时间,卖出价格,收益率,code,买入时间_dt,卖出时间_dt,buy_date,sell_date,trade_id
601168,西部矿业,2025年10月13日 09:30,22.41,2025年10月14日 09:30,24.16,0.0781,601168,2025-10-13 09:30:00,2025-10-14 09:30:00,2025-10-13,2025-10-14,T001
600363,联创光电,2025年10月15日 09:30,66.33,2025年10月15日 14:55,62.09,-0.0639,600363,2025-10-15 09:30:00,2025-10-15 14:55:00,2025-10-15,2025-10-15,T002
2171,冠城新材,2025年10月16日 09:30,11.55,2025年10月17日 09:30,12.35,0.0693,002171,2025-10-16 09:30:00,2025-10-17 09:30:00,2025-10-16,2025-10-17,T003
2185,华天科技,2025年10月21日 09:30,12.4,2025年10月23日 14:55,11.8,-0.0484,002185,2025-10-21 09:30:00,2025-10-23 14:55:00,2025-10-21,2025-10-23,T004
917,电广传媒,2025年10月22日 09:30,8.6,2025年10月27日 09:32,9.11,0.0593,000917,2025-10-22 09:30:00,2025-10-27 09:32:00,2025-10-22,2025-10-27,T005
2831,裕同科技,2025年10月23日 09:30,26.59,2025年11月7日 09:51,27.92,0.05,002831,2025-10-23 09:30:00,2025-11-07 09:51:00,2025-10-23,2025-11-07,T006
601068,中铝国际,2025年10月24日 09:30,5.58,2025年10月28日 14:57,5.3,-0.0502,601068,2025-10-24 09:30:00,2025-10-28 14:57:00,2025-10-24,2025-10-28,T007
27,深圳能源,2025年10月27日 09:30,7.2,2025年11月18日 14:55,6.82,-0.0528,000027,2025-10-27 09:30:00,2025-11-18 14:55:00,2025-10-27,2025-11-18,T008
2497,雅化集团,2025年10月28日 09:30,18.12,2025年10月30日 11:22,19.11,0.0546,002497,2025-10-28 09:30:00,2025-10-30 11:22:00,2025-10-28,2025-10-30,T009
600438,通威股份,2025年10月31日 09:30,24.58,2025年11月7日 09:40,25.99,0.0574,600438,2025-10-31 09:30:00,2025-11-07 09:40:00,2025-10-31,2025-11-07,T010
600773,西藏城投,2025年11月3日 09:30,12.26,2025年11月4日 09:40,12.94,0.0555,600773,2025-11-03 09:30:00,2025-11-04 09:40:00,2025-11-03,2025-11-04,T011
2653,海思科,2025年11月4日 09:30,54.65,2025年11月19日 14:55,57.38,0.05,002653,2025-11-04 09:30:00,2025-11-19 14:55:00,2025-11-04,2025-11-19,T012
