date,open,close,high,low,volume,amount,amplitude_pct,pct_change_pct,change,turnover_pct,code,code6,data_source,name
2014-01-08,1.052,1.052,1.052,1.052,2,210.0,0.0,-1.96,-0.021,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-01-21,1.043,1.043,1.043,1.043,0,4.0,0.0,-0.86,-0.009,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-02-13,1.052,1.08,1.08,1.052,3,318.0,2.68,3.55,0.037,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-02-27,1.114,1.114,1.114,1.114,1,111.0,0.0,3.15,0.034,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-03-03,1.225,1.225,1.225,1.225,1,122.0,0.0,9.96,0.111,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-02,1.125,1.125,1.125,1.125,87,9821.0,0.0,-8.16,-0.1,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-08,1.167,1.167,1.167,1.167,301,35127.0,0.0,3.73,0.042,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-11,1.188,1.178,1.188,1.178,170,20146.0,0.86,0.94,0.011,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-14,1.178,1.178,1.178,1.06,237,26603.0,10.02,0.0,0.0,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-15,1.296,1.296,1.296,1.178,237,29335.0,10.02,10.02,0.118,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-16,1.426,1.426,1.426,1.185,236,30998.0,18.6,10.03,0.13,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-17,1.426,1.56,1.569,1.285,277,38966.0,19.92,9.4,0.134,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-18,1.568,1.716,1.716,1.41,365,56970.0,19.62,10.0,0.156,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-21,1.716,1.561,1.887,1.551,667,115674.0,19.58,-9.03,-0.155,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-22,1.689,1.608,1.689,1.405,598,88790.0,18.19,3.01,0.047,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-23,1.68,1.655,1.769,1.48,468,79319.0,17.97,2.92,0.047,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-24,1.49,1.49,1.49,1.49,273,40677.0,0.0,-9.97,-0.165,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-25,1.341,1.341,1.341,1.341,220,29502.0,0.0,-10.0,-0.149,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-28,1.215,1.278,1.278,1.215,820,101858.0,4.7,-4.7,-0.063,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-04-29,1.221,1.25,1.25,1.221,86,10613.0,2.27,-2.19,-0.028,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-05-06,1.215,1.239,1.239,1.215,31,3829.0,1.92,-0.88,-0.011,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-05-07,1.247,1.242,1.247,1.242,15,1868.0,0.4,0.24,0.003,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-05-08,1.235,1.237,1.237,1.235,247,30535.0,0.16,-0.4,-0.005,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-05-09,1.23,1.233,1.234,1.23,198,24396.0,0.32,-0.32,-0.004,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-05-12,1.232,1.259,1.259,1.231,79,9787.0,2.27,2.11,0.026,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-05-13,1.258,1.202,1.258,1.2,163,19739.0,4.61,-4.53,-0.057,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-05-19,1.1,1.1,1.1,1.1,1,110.0,0.0,-8.49,-0.102,0.0,162411.SZ,162411,eastmoney,华宝油气
2014-05-20,1.198,1.2,1.2,1.198,101,12057.0,0.18,9.09,0.1,0.0,162411.SZ,162411,eastmoney,华宝油气
