date,open,close,high,low,volume,amount,amplitude_pct,pct_change_pct,change,turnover_pct,code,code6,data_source,name
2019-09-06,0.35,0.351,0.36,0.344,4859952,510408080.0,4.66,2.33,0.008,3.59,515880.SS,515880,eastmoney,通信ETF
2019-09-09,0.356,0.374,0.378,0.352,4614146,500161632.0,7.41,6.55,0.023,3.41,515880.SS,515880,eastmoney,通信ETF
2019-09-10,0.378,0.363,0.378,0.359,8367766,915766608.0,5.08,-2.94,-0.011,6.18,515880.SS,515880,eastmoney,通信ETF
2019-09-11,0.365,0.357,0.365,0.356,4225866,455977392.0,2.48,-1.65,-0.006,3.12,515880.SS,515880,eastmoney,通信ETF
2019-09-12,0.358,0.361,0.361,0.356,2306155,248350009.0,1.4,1.12,0.004,1.7,515880.SS,515880,eastmoney,通信ETF
2019-09-16,0.362,0.362,0.365,0.357,2615752,283548368.0,2.22,0.28,0.001,1.93,515880.SS,515880,eastmoney,通信ETF
2019-09-17,0.36,0.352,0.36,0.349,4227280,448954176.0,3.04,-2.76,-0.01,3.12,515880.SS,515880,eastmoney,通信ETF
2019-09-18,0.353,0.352,0.355,0.35,2063783,218270659.0,1.42,0.0,0.0,1.52,515880.SS,515880,eastmoney,通信ETF
2019-09-19,0.352,0.36,0.361,0.352,2832896,302721776.0,2.56,2.27,0.008,2.09,515880.SS,515880,eastmoney,通信ETF
2019-09-20,0.361,0.36,0.365,0.36,2841402,308832896.0,1.39,0.0,0.0,2.1,515880.SS,515880,eastmoney,通信ETF
2019-09-23,0.359,0.361,0.361,0.355,1715098,183862888.0,1.67,0.28,0.001,1.27,515880.SS,515880,eastmoney,通信ETF
2019-09-24,0.361,0.366,0.369,0.36,3268654,358410496.0,2.49,1.39,0.005,2.41,515880.SS,515880,eastmoney,通信ETF
2019-09-25,0.363,0.355,0.363,0.354,2704993,290541296.0,2.46,-3.01,-0.011,2.0,515880.SS,515880,eastmoney,通信ETF
2019-09-26,0.356,0.34,0.357,0.34,4701371,489070672.0,4.79,-4.23,-0.015,3.47,515880.SS,515880,eastmoney,通信ETF
2019-09-27,0.339,0.345,0.347,0.339,1689277,174446833.0,2.35,1.47,0.005,1.25,515880.SS,515880,eastmoney,通信ETF
2019-09-30,0.343,0.34,0.347,0.338,1594632,162997504.0,2.61,-1.45,-0.005,1.18,515880.SS,515880,eastmoney,通信ETF
2019-10-08,0.34,0.333,0.341,0.333,1790299,180899638.0,2.35,-2.06,-0.007,1.32,515880.SS,515880,eastmoney,通信ETF
2019-10-09,0.333,0.337,0.337,0.327,1618890,161721157.0,3.0,1.2,0.004,1.19,515880.SS,515880,eastmoney,通信ETF
2019-10-10,0.337,0.345,0.345,0.337,2167812,222600292.0,2.37,2.37,0.008,1.6,515880.SS,515880,eastmoney,通信ETF
2019-10-11,0.345,0.344,0.346,0.341,1244473,128180054.0,1.45,-0.29,-0.001,0.92,515880.SS,515880,eastmoney,通信ETF
2019-10-14,0.347,0.348,0.35,0.347,1515085,158405046.0,0.87,1.16,0.004,1.12,515880.SS,515880,eastmoney,通信ETF
2019-10-15,0.347,0.339,0.347,0.339,1364726,139592113.0,2.3,-2.59,-0.009,1.01,515880.SS,515880,eastmoney,通信ETF
2019-10-16,0.339,0.336,0.341,0.336,1180383,119730950.0,1.47,-0.88,-0.003,0.87,515880.SS,515880,eastmoney,通信ETF
2019-10-17,0.336,0.337,0.338,0.334,730908,73780151.0,1.19,0.3,0.001,0.54,515880.SS,515880,eastmoney,通信ETF
2019-10-18,0.337,0.333,0.34,0.332,1600012,160974213.0,2.37,-1.19,-0.004,1.18,515880.SS,515880,eastmoney,通信ETF
2019-10-21,0.332,0.33,0.332,0.325,1469229,144705104.0,2.1,-0.9,-0.003,1.08,515880.SS,515880,eastmoney,通信ETF
2019-10-22,0.33,0.335,0.335,0.33,953586,95350055.0,1.52,1.52,0.005,0.7,515880.SS,515880,eastmoney,通信ETF
2019-10-23,0.335,0.333,0.336,0.333,1047189,105092139.0,0.9,-0.6,-0.002,0.77,515880.SS,515880,eastmoney,通信ETF
2019-10-24,0.332,0.332,0.333,0.329,720450,71598506.0,1.2,-0.3,-0.001,0.53,515880.SS,515880,eastmoney,通信ETF
2019-10-25,0.331,0.335,0.336,0.328,1082796,107904363.0,2.41,0.9,0.003,0.8,515880.SS,515880,eastmoney,通信ETF
2019-10-28,0.342,0.343,0.343,0.338,1809129,185014465.0,1.49,2.39,0.008,1.34,515880.SS,515880,eastmoney,通信ETF
2019-10-29,0.342,0.337,0.343,0.337,1348848,137560667.0,1.75,-1.75,-0.006,1.0,515880.SS,515880,eastmoney,通信ETF
2019-10-30,0.334,0.334,0.338,0.331,1038837,104173566.0,2.08,-0.89,-0.003,0.77,515880.SS,515880,eastmoney,通信ETF
2019-10-31,0.335,0.333,0.338,0.332,787670,79055475.0,1.8,-0.3,-0.001,0.58,515880.SS,515880,eastmoney,通信ETF
2019-11-01,0.332,0.335,0.337,0.331,867836,87131755.0,1.8,0.6,0.002,0.64,515880.SS,515880,eastmoney,通信ETF
2019-11-04,0.337,0.341,0.344,0.336,1866261,190815817.0,2.39,1.79,0.006,1.38,515880.SS,515880,eastmoney,通信ETF
