date,open,close,high,low,volume,amount,amplitude_pct,pct_change_pct,change,turnover_pct,code,code6,data_source,name
2022-01-07,0.966,0.948,0.971,0.947,1015442,97445827.0,2.48,-2.07,-0.02,1.68,159611.SZ,159611,eastmoney,电力ETF
2022-01-10,0.94,0.939,0.944,0.933,597727,56112170.0,1.16,-0.95,-0.009,0.99,159611.SZ,159611,eastmoney,电力ETF
2022-01-11,0.939,0.944,0.959,0.938,855922,81177992.0,2.24,0.53,0.005,1.41,159611.SZ,159611,eastmoney,电力ETF
2022-01-12,0.943,0.946,0.95,0.935,595282,56024964.0,1.59,0.21,0.002,0.98,159611.SZ,159611,eastmoney,电力ETF
2022-01-13,0.947,0.936,0.947,0.931,596854,55849940.0,1.69,-1.06,-0.01,0.99,159611.SZ,159611,eastmoney,电力ETF
2022-01-14,0.927,0.928,0.941,0.923,468231,43641540.0,1.92,-0.85,-0.008,0.77,159611.SZ,159611,eastmoney,电力ETF
2022-01-17,0.929,0.932,0.936,0.923,324839,30276005.0,1.4,0.43,0.004,0.54,159611.SZ,159611,eastmoney,电力ETF
2022-01-18,0.931,0.954,0.96,0.924,985039,93323190.0,3.86,2.36,0.022,1.63,159611.SZ,159611,eastmoney,电力ETF
2022-01-19,0.954,0.944,0.954,0.938,721364,68077142.0,1.68,-1.05,-0.01,1.19,159611.SZ,159611,eastmoney,电力ETF
2022-01-20,0.944,0.944,0.956,0.931,920917,86988753.0,2.65,0.0,0.0,1.52,159611.SZ,159611,eastmoney,电力ETF
2022-01-21,0.939,0.932,0.957,0.932,897248,84756948.0,2.65,-1.27,-0.012,1.48,159611.SZ,159611,eastmoney,电力ETF
2022-01-24,0.928,0.932,0.936,0.921,488758,45376791.0,1.61,0.0,0.0,0.81,159611.SZ,159611,eastmoney,电力ETF
2022-01-25,0.93,0.89,0.93,0.89,961183,87333046.0,4.29,-4.51,-0.042,1.59,159611.SZ,159611,eastmoney,电力ETF
2022-01-26,0.896,0.904,0.913,0.893,609058,55109908.0,2.25,1.57,0.014,1.01,159611.SZ,159611,eastmoney,电力ETF
2022-01-27,0.906,0.889,0.906,0.888,488003,43719224.0,1.99,-1.66,-0.015,0.81,159611.SZ,159611,eastmoney,电力ETF
2022-01-28,0.894,0.883,0.897,0.872,613930,54324126.0,2.81,-0.67,-0.006,1.01,159611.SZ,159611,eastmoney,电力ETF
2022-02-07,0.891,0.907,0.907,0.89,578987,52162966.0,1.93,2.72,0.024,0.96,159611.SZ,159611,eastmoney,电力ETF
2022-02-08,0.907,0.929,0.93,0.899,766352,70149644.0,3.42,2.43,0.022,1.26,159611.SZ,159611,eastmoney,电力ETF
2022-02-09,0.93,0.946,0.952,0.923,1039503,97840247.0,3.12,1.83,0.017,1.72,159611.SZ,159611,eastmoney,电力ETF
2022-02-10,0.948,0.952,0.957,0.942,875703,83146976.0,1.59,0.63,0.006,1.45,159611.SZ,159611,eastmoney,电力ETF
2022-02-11,0.95,0.94,0.956,0.937,561442,53103661.0,2.0,-1.26,-0.012,0.93,159611.SZ,159611,eastmoney,电力ETF
