ret3_threshold_pct,ret20_threshold_pct,samples,codes,date_min,date_max,avg_ret1_pct,avg_ret3_pct,avg_ret20_pct,avg_bias5_pct,avg_fwd1_pct,median_fwd1_pct,down_fwd1_ratio,avg_fwd3_pct,median_fwd3_pct,down_fwd3_ratio,avg_fwd5_pct,median_fwd5_pct,down_fwd5_ratio,avg_fwd10_pct,median_fwd10_pct,down_fwd10_ratio
4.0,8.0,623,12,2014-06-23,2026-03-16,2.399,7.406,17.695,4.352,0.279,-0.091,0.504,0.439,0.0,0.4848,0.198,0.0,0.4992,0.949,0.172,0.4864
4.0,10.0,513,12,2014-06-23,2026-03-16,2.536,7.786,19.573,4.607,0.215,-0.172,0.5205,0.287,0.0,0.4932,0.126,-0.342,0.5166,0.874,0.0,0.499
4.0,12.0,423,12,2014-06-23,2026-03-16,2.647,8.138,21.425,4.841,0.282,-0.147,0.5106,0.206,0.0,0.4965,-0.031,-0.179,0.5035,0.822,0.107,0.4917
4.0,15.0,304,12,2014-06-23,2026-03-12,2.753,8.941,24.487,5.266,0.118,-0.178,0.5263,-0.436,-0.61,0.5329,-0.58,-0.531,0.5362,0.58,-0.128,0.5099
4.0,18.0,222,10,2016-04-25,2026-03-04,3.013,9.628,27.442,5.669,-0.032,-0.203,0.5315,-0.788,-0.71,0.5495,-1.057,-0.661,0.536,0.136,-0.382,0.527
5.0,8.0,447,12,2014-06-23,2026-03-04,2.771,8.554,19.089,5.017,0.298,0.0,0.4966,0.459,0.0,0.4944,0.148,0.0,0.4944,1.096,0.313,0.4631
5.0,10.0,384,12,2014-06-23,2026-03-04,2.904,8.89,20.75,5.246,0.236,-0.128,0.5078,0.372,0.0,0.4974,0.096,-0.196,0.5104,1.03,0.231,0.4766
5.0,12.0,327,11,2014-06-23,2026-03-04,2.942,9.199,22.467,5.427,0.298,0.0,0.4954,0.231,-0.18,0.5046,-0.094,-0.192,0.5076,0.963,0.256,0.474
5.0,15.0,249,11,2014-06-23,2026-03-04,3.004,9.913,25.237,5.801,0.14,-0.153,0.5181,-0.398,-0.67,0.5341,-0.57,-0.519,0.5382,0.747,0.0,0.494
5.0,18.0,183,10,2016-04-25,2026-03-04,3.282,10.712,28.371,6.267,-0.055,-0.242,0.5355,-0.881,-0.771,0.5574,-1.24,-0.84,0.5519,0.118,-0.35,0.5246
6.0,8.0,300,12,2014-06-23,2026-03-04,3.303,10.04,21.297,5.894,0.278,-0.146,0.5167,0.358,-0.297,0.52,0.14,-0.203,0.5133,0.983,0.185,0.4833
6.0,10.0,274,12,2014-06-23,2026-03-04,3.406,10.24,22.482,6.032,0.212,-0.178,0.5219,0.17,-0.348,0.5292,0.071,-0.468,0.5255,0.877,0.059,0.4927
6.0,12.0,245,11,2014-06-23,2026-03-04,3.402,10.421,23.838,6.13,0.253,-0.153,0.5184,-0.009,-0.595,0.5429,-0.294,-0.542,0.5388,0.632,0.0,0.498
6.0,15.0,199,11,2014-06-23,2026-03-04,3.445,11.004,26.23,6.433,0.057,-0.242,0.5477,-0.727,-1.107,0.5729,-0.821,-0.966,0.5628,0.345,-0.258,0.5176
6.0,18.0,150,10,2016-04-29,2026-03-04,3.769,11.844,29.397,6.914,-0.241,-0.478,0.58,-1.34,-1.212,0.6067,-1.64,-1.174,0.5867,-0.26,-0.796,0.5467
7.0,8.0,214,12,2014-06-23,2026-03-04,3.696,11.474,23.083,6.725,0.3,-0.27,0.5514,0.393,-0.836,0.5467,-0.059,-0.917,0.5467,1.024,0.059,0.4907
7.0,10.0,198,11,2014-06-23,2026-03-04,3.757,11.692,24.245,6.853,0.248,-0.3,0.5556,0.168,-0.978,0.5606,-0.137,-0.917,0.5505,0.962,-0.06,0.5
7.0,12.0,182,11,2014-06-23,2026-03-04,3.728,11.788,25.406,6.899,0.253,-0.27,0.5549,0.002,-1.058,0.5659,-0.455,-0.979,0.5604,0.708,-0.06,0.5
7.0,15.0,156,11,2014-06-23,2026-03-04,3.731,12.253,27.366,7.124,0.042,-0.426,0.5833,-0.834,-1.242,0.5962,-1.054,-1.393,0.5897,0.442,-0.164,0.5064
7.0,18.0,121,10,2016-12-12,2026-03-04,4.083,13.128,30.486,7.629,-0.214,-0.763,0.6116,-1.448,-1.294,0.6116,-1.892,-1.557,0.6198,-0.292,-0.764,0.5372
