code,entry_date,exit_date,entry_price,exit_price,peak_price,hold_days,entry_ret20,entry_ret3,exit_return,max_runup_after_entry,vol_group,stop_pct
159611.SZ,2026-03-10,2026-03-16,1.149,1.147,1.205,4,0.1342546890424483,0.02315227070347281,-0.0017406440382942145,0.048738033072236675,low_vol,4.0
159611.SZ,2026-03-11,2026-03-16,1.178,1.147,1.205,3,0.1537708129285016,0.037885462555065974,-0.02631578947368418,0.022920203735144362,low_vol,4.0
159611.SZ,2026-03-12,2026-03-16,1.205,1.147,1.205,2,0.16425120772946866,0.04782608695652191,-0.0481327800829876,0.0,low_vol,4.0
159611.SZ,2026-03-13,2026-03-23,1.179,1.12,1.179,6,0.14912280701754388,0.026109660574412663,-0.05004240882103472,0.0,low_vol,4.0
159611.SZ,2026-03-25,2026-03-30,1.2,1.133,1.2,3,0.1417697431018079,0.04895104895104896,-0.05583333333333329,0.0,low_vol,4.0
512890.SS,2019-04-08,2019-04-23,0.612,0.59,0.616,11,0.125,0.02684563758389258,-0.03594771241830064,0.006535947712418277,low_vol,4.0
512890.SS,2020-07-06,2020-07-24,0.652,0.637,0.664,14,0.1539823008849559,0.11073253833049423,-0.02300613496932513,0.01840490797546024,low_vol,4.0
512890.SS,2020-07-07,2020-07-24,0.651,0.637,0.664,13,0.15630550621669648,0.07960199004975133,-0.021505376344086002,0.019969278033794113,low_vol,4.0
512890.SS,2020-07-08,2020-07-24,0.652,0.637,0.664,12,0.1519434628975267,0.065359477124183,-0.02300613496932513,0.01840490797546024,low_vol,4.0
512890.SS,2020-07-09,2020-07-24,0.658,0.637,0.664,11,0.1564147627416521,0.009202453987730008,-0.03191489361702127,0.00911854103343468,low_vol,4.0
512890.SS,2020-07-10,2020-07-24,0.643,0.637,0.664,10,0.13005272407732882,-0.01228878648233489,-0.009331259720062213,0.03265940902021769,low_vol,4.0
512890.SS,2020-07-13,2020-07-24,0.66,0.637,0.664,9,0.17229129662522213,0.012269938650306678,-0.034848484848484906,0.0060606060606061,low_vol,4.0
512890.SS,2020-07-14,2020-07-24,0.656,0.637,0.664,8,0.16312056737588665,-0.003039513677811523,-0.02896341463414631,0.012195121951219523,low_vol,4.0
512890.SS,2020-07-15,2020-07-24,0.649,0.637,0.664,7,0.1610017889087656,0.009331259720062324,-0.018489984591679498,0.023112480739599484,low_vol,4.0
512890.SS,2020-07-16,2020-07-24,0.641,0.637,0.664,6,0.13451327433628335,-0.028787878787878807,-0.006240249609984372,0.03588143525741039,low_vol,4.0
512890.SS,2020-07-17,2020-07-24,0.638,0.637,0.664,5,0.12323943661971848,-0.027439024390243927,-0.0015673981191222097,0.040752351097178785,low_vol,4.0
512890.SS,2020-07-20,2020-07-24,0.664,0.637,0.664,4,0.16491228070175445,0.023112480739599484,-0.0406626506024097,0.0,low_vol,4.0
512890.SS,2020-07-21,2020-07-27,0.663,0.633,0.663,4,0.15909090909090917,0.03432137285491432,-0.045248868778280604,0.0,low_vol,4.0
512890.SS,2020-07-22,2020-07-27,0.663,0.633,0.663,3,0.16725352112676073,0.03918495297805635,-0.045248868778280604,0.0,low_vol,4.0
512890.SS,2020-07-23,2020-08-20,0.657,0.688,0.699,20,0.16077738515901085,-0.010542168674698815,0.04718417047184165,0.06392694063926929,low_vol,4.0
512890.SS,2021-08-31,2021-09-17,0.8,0.843,0.887,13,0.13798008534850648,0.044386422976501416,0.053749999999999964,0.1087499999999999,low_vol,4.0
512890.SS,2021-09-02,2021-09-17,0.809,0.843,0.887,11,0.14104372355430206,0.04521963824289399,0.04202719406674893,0.0964153275648949,low_vol,4.0
512890.SS,2021-09-03,2021-09-17,0.807,0.843,0.887,10,0.13183730715287534,0.008750000000000036,0.044609665427509215,0.09913258983890949,low_vol,4.0
512890.SS,2021-09-06,2021-09-17,0.813,0.843,0.887,9,0.1229281767955801,0.023929471032745564,0.03690036900368998,0.09102091020910219,low_vol,4.0
512890.SS,2021-09-07,2021-09-17,0.83,0.843,0.887,8,0.14640883977900554,0.02595797280593315,0.015662650602409567,0.06867469879518073,low_vol,4.0
512890.SS,2021-09-08,2021-09-17,0.846,0.843,0.887,7,0.1386271870794078,0.048327137546468224,-0.0035460992907800915,0.0484633569739954,low_vol,4.0
512890.SS,2021-09-09,2021-09-17,0.872,0.843,0.887,6,0.15957446808510634,0.0725707257072572,-0.03325688073394495,0.017201834862385246,low_vol,4.0
512890.SS,2021-09-10,2021-09-17,0.865,0.843,0.887,5,0.1517976031957391,0.04216867469879526,-0.02543352601156068,0.025433526011560792,low_vol,4.0
512890.SS,2021-09-13,2021-09-17,0.887,0.843,0.887,4,0.17173051519154559,0.0484633569739954,-0.049605411499436314,0.0,low_vol,4.0
